,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
7756,2020,Mid-level /Intermediate,Full-time,Research Scientist,450000,USD,450000,United States of America,Not at all,United States of America,Medium
6268,2022,Mid-level /Intermediate,Full-time,Data Analyst,350000,GBP,430967,United Kingdom (Great Britain),Not at all,United Kingdom (Great Britain),Medium
4268,2023,Mid-level /Intermediate,Full-time,Analytics Engineer,350000,GBP,430640,United Kingdom (Great Britain),Not at all,United Kingdom (Great Britain),Medium
7966,2021,Mid-level /Intermediate,Full-time,Applied Machine Learning Scientist,423000,USD,423000,United States of America,Somthimes,United States of America,Large
4796,2023,Senior-level/ Expert,Full-time,AI Scientist,1500000,ILS,417937,Israel,Not at all,Israel,Large
7901,2021,Executive-level / Director,Contract,Principal Data Scientist,416000,USD,416000,United States of America,Totally Remote,United States of America,Small
7969,2020,Senior-level/ Expert,Full-time,Data Scientist,412000,USD,412000,United States of America,Totally Remote,United States of America,Large
7699,2022,Senior-level/ Expert,Full-time,Data Analytics Lead,405000,USD,405000,United States of America,Totally Remote,United States of America,Large
248,2023,Mid-level /Intermediate,Full-time,Research Scientist,405000,USD,405000,United States of America,Not at all,United States of America,Large
3498,2023,Senior-level/ Expert,Full-time,Analytics Engineering Manager,325000,GBP,399880,United Kingdom (Great Britain),Somthimes,United Kingdom (Great Britain),Large
2826,2023,Senior-level/ Expert,Full-time,Machine Learning Engineer,392000,USD,392000,United States of America,Not at all,United States of America,Medium
1045,2023,Senior-level/ Expert,Full-time,Data Infrastructure Engineer,385000,USD,385000,United States of America,Not at all,United States of America,Medium
5552,2023,Senior-level/ Expert,Full-time,Data Analyst,385000,USD,385000,United States of America,Not at all,United States of America,Medium
1263,2023,Senior-level/ Expert,Full-time,ML Engineer,385000,USD,385000,United States of America,Totally Remote,United States of America,Medium
458,2023,Senior-level/ Expert,Full-time,Research Engineer,385000,USD,385000,United States of America,Not at all,United States of America,Medium
464,2023,Senior-level/ Expert,Full-time,Data Engineer,385000,USD,385000,United States of America,Not at all,United States of America,Medium
414,2023,Senior-level/ Expert,Full-time,Data Engineer,385000,USD,385000,United States of America,Not at all,United States of America,Medium
2659,2023,Senior-level/ Expert,Full-time,ML Engineer,383910,USD,383910,United States of America,Not at all,United States of America,Medium
7704,2022,Senior-level/ Expert,Full-time,Applied Data Scientist,380000,USD,380000,United States of America,Totally Remote,United States of America,Large
4916,2023,Senior-level/ Expert,Full-time,Data Architect,376080,USD,376080,United States of America,Totally Remote,United States of America,Medium
1175,2023,Executive-level / Director,Full-time,Director of Data Science,375500,USD,375500,United States of America,Totally Remote,United States of America,Medium
5522,2022,Senior-level/ Expert,Full-time,Machine Learning Software Engineer,375000,USD,375000,United States of America,Totally Remote,United States of America,Medium
6611,2022,Senior-level/ Expert,Full-time,Data Science Tech Lead,375000,USD,375000,United States of America,Somthimes,United States of America,Large
3297,2023,Senior-level/ Expert,Full-time,Research Scientist,374000,USD,374000,United States of America,Not at all,United States of America,Medium
5371,2023,Senior-level/ Expert,Full-time,Data Scientist,370000,USD,370000,United States of America,Not at all,United States of America,Medium
1494,2023,Senior-level/ Expert,Full-time,Data Engineer,370000,USD,370000,United States of America,Not at all,United States of America,Medium
763,2023,Senior-level/ Expert,Full-time,Machine Learning Engineer,370000,USD,370000,United States of America,Not at all,United States of America,Medium
3190,2023,Senior-level/ Expert,Full-time,Research Engineer,370000,USD,370000,United States of America,Not at all,United States of America,Medium
4147,2023,Senior-level/ Expert,Full-time,Research Scientist,370000,USD,370000,United States of America,Not at all,United States of America,Medium
3331,2023,Senior-level/ Expert,Full-time,Research Engineer,370000,USD,370000,United States of America,Not at all,United States of America,Medium
1636,2023,Senior-level/ Expert,Full-time,Data Scientist,370000,USD,370000,United States of America,Not at all,United States of America,Medium
4143,2023,Senior-level/ Expert,Full-time,Research Engineer,370000,USD,370000,United States of America,Not at all,United States of America,Medium
5575,2023,Senior-level/ Expert,Full-time,Research Scientist,370000,USD,370000,United States of America,Not at all,United States of America,Medium
3247,2023,Senior-level/ Expert,Full-time,Research Scientist,370000,USD,370000,United States of America,Not at all,United States of America,Medium
498,2023,Mid-level /Intermediate,Full-time,Data Analyst,300000,GBP,369120,United Kingdom (Great Britain),Not at all,United Kingdom (Great Britain),Medium
484,2023,Mid-level /Intermediate,Full-time,AI Engineer,300000,GBP,369120,United Kingdom (Great Britain),Not at all,United Kingdom (Great Britain),Medium
55,2023,Mid-level /Intermediate,Full-time,Analytics Engineer,300000,GBP,369120,United Kingdom (Great Britain),Not at all,United Kingdom (Great Britain),Medium
2925,2023,Senior-level/ Expert,Full-time,ML Engineer,365630,USD,365630,United States of America,Not at all,United States of America,Medium
512,2023,Senior-level/ Expert,Full-time,AI Engineer,360000,USD,360000,United States of America,Not at all,United States of America,Medium
3125,2023,Senior-level/ Expert,Full-time,Data Scientist,359170,USD,359170,United States of America,Not at all,United States of America,Medium
2108,2023,Senior-level/ Expert,Full-time,Data Scientist,359170,USD,359170,United States of America,Not at all,United States of America,Medium
1500,2023,Senior-level/ Expert,Full-time,Data Scientist,359170,USD,359170,United States of America,Not at all,United States of America,Medium
1519,2023,Senior-level/ Expert,Full-time,Data Scientist,359170,USD,359170,United States of America,Not at all,United States of America,Medium
3149,2023,Senior-level/ Expert,Full-time,Data Scientist,359170,USD,359170,United States of America,Not at all,United States of America,Medium
2910,2023,Senior-level/ Expert,Full-time,Data Scientist,359170,USD,359170,United States of America,Not at all,United States of America,Medium
2870,2023,Senior-level/ Expert,Full-time,Data Scientist,359170,USD,359170,United States of America,Not at all,United States of America,Medium
3129,2023,Senior-level/ Expert,Full-time,Data Scientist,359170,USD,359170,United States of America,Not at all,United States of America,Medium
2872,2023,Senior-level/ Expert,Full-time,Data Scientist,359170,USD,359170,United States of America,Not at all,United States of America,Medium
270,2023,Executive-level / Director,Full-time,Director of Data Science,353200,USD,353200,United States of America,Not at all,United States of America,Medium
4746,2023,Executive-level / Director,Full-time,Director of Data Science,353200,USD,353200,United States of America,Not at all,United States of America,Medium
5684,2023,Senior-level/ Expert,Full-time,Applied Scientist,350000,USD,350000,United States of America,Not at all,United States of America,Large
410,2023,Senior-level/ Expert,Full-time,AI Engineer,350000,USD,350000,United States of America,Not at all,United States of America,Medium
6626,2022,Senior-level/ Expert,Full-time,Data Scientist,350000,USD,350000,United States of America,Totally Remote,United States of America,Medium
1916,2023,Senior-level/ Expert,Full-time,Data Lead,350000,USD,350000,United States of America,Not at all,United States of America,Medium
6805,2022,Senior-level/ Expert,Full-time,Data Architect,345600,USD,345600,United States of America,Not at all,United States of America,Medium
3200,2023,Senior-level/ Expert,Full-time,Research Scientist,345000,USD,345000,United States of America,Not at all,United States of America,Medium
4303,2023,Senior-level/ Expert,Full-time,Computer Vision Engineer,342810,USD,342810,United States of America,Not at all,United States of America,Medium
4401,2023,Senior-level/ Expert,Full-time,Machine Learning Engineer,342300,USD,342300,United States of America,Not at all,United States of America,Large
5112,2023,Mid-level /Intermediate,Full-time,Research Scientist,340000,USD,340000,United States of America,Totally Remote,United States of America,Medium
1023,2023,Senior-level/ Expert,Full-time,Machine Learning Engineer,340000,USD,340000,United States of America,Not at all,United States of America,Medium
4099,2023,Executive-level / Director,Full-time,Director of Data Science,336400,USD,336400,United States of America,Not at all,United States of America,Medium
3655,2023,Executive-level / Director,Full-time,Data Engineer,333500,USD,333500,United States of America,Not at all,United States of America,Medium
2898,2023,Senior-level/ Expert,Full-time,Machine Learning Engineer,331640,USD,331640,United States of America,Not at all,United States of America,Medium
3139,2023,Senior-level/ Expert,Full-time,Machine Learning Engineer,331640,USD,331640,United States of America,Not at all,United States of America,Medium
3121,2023,Senior-level/ Expert,Full-time,Deep Learning Engineer,331640,USD,331640,United States of America,Not at all,United States of America,Medium
1836,2023,Senior-level/ Expert,Full-time,Machine Learning Engineer,331640,USD,331640,United States of America,Not at all,United States of America,Medium
2884,2023,Senior-level/ Expert,Full-time,Machine Learning Engineer,331640,USD,331640,United States of America,Not at all,United States of America,Medium
3418,2023,Senior-level/ Expert,Full-time,Machine Learning Engineer,331640,USD,331640,United States of America,Not at all,United States of America,Medium
2878,2023,Senior-level/ Expert,Full-time,Deep Learning Engineer,331640,USD,331640,United States of America,Not at all,United States of America,Medium
2888,2023,Senior-level/ Expert,Full-time,Data Engineer,331640,USD,331640,United States of America,Not at all,United States of America,Medium
3127,2023,Senior-level/ Expert,Full-time,Machine Learning Engineer,331640,USD,331640,United States of America,Not at all,United States of America,Medium
2972,2023,Senior-level/ Expert,Full-time,Machine Learning Engineer,331640,USD,331640,United States of America,Not at all,United States of America,Medium
3119,2023,Senior-level/ Expert,Full-time,Data Engineer,331640,USD,331640,United States of America,Not at all,United States of America,Medium
2866,2023,Senior-level/ Expert,Full-time,AI Architect,330000,USD,330000,United States of America,Not at all,United States of America,Medium
643,2023,Senior-level/ Expert,Full-time,Machine Learning Engineer,330000,USD,330000,United States of America,Totally Remote,United States of America,Medium
3064,2023,Senior-level/ Expert,Full-time,AI Architect,330000,USD,330000,United States of America,Not at all,United States of America,Medium
3133,2023,Executive-level / Director,Full-time,Head of Data Science,330000,USD,330000,United States of America,Not at all,United States of America,Medium
1060,2023,Senior-level/ Expert,Full-time,Machine Learning Engineer,330000,USD,330000,United States of America,Not at all,United States of America,Medium
1712,2023,Senior-level/ Expert,Full-time,AI Architect,330000,USD,330000,United States of America,Not at all,United States of America,Medium
2526,2023,Senior-level/ Expert,Full-time,AI Architect,330000,USD,330000,United States of America,Not at all,United States of America,Medium
949,2023,Executive-level / Director,Full-time,Head of Machine Learning,330000,USD,330000,United States of America,Not at all,United States of America,Medium
1302,2023,Senior-level/ Expert,Full-time,Machine Learning Engineer,330000,USD,330000,United States of America,Not at all,United States of America,Medium
973,2023,Executive-level / Director,Full-time,Head of Data,329500,USD,329500,United States of America,Totally Remote,United States of America,Medium
4496,2023,Executive-level / Director,Full-time,Head of Data,329500,USD,329500,United States of America,Not at all,United States of America,Medium
1328,2023,Executive-level / Director,Full-time,Head of Data,329500,USD,329500,United States of America,Totally Remote,United States of America,Medium
3822,2023,Executive-level / Director,Full-time,Head of Data,329500,USD,329500,United States of America,Not at all,United States of America,Medium
1070,2023,Senior-level/ Expert,Full-time,Machine Learning Engineer,328133,USD,328133,United States of America,Not at all,United States of America,Medium
3870,2023,Senior-level/ Expert,Full-time,Data Science Manager,328000,USD,328000,United States of America,Not at all,United States of America,Medium
1728,2023,Senior-level/ Expert,Full-time,Machine Learning Scientist,325000,USD,325000,United States of America,Totally Remote,United States of America,Medium
7920,2020,Executive-level / Director,Full-time,Director of Data Science,325000,USD,325000,United States of America,Totally Remote,United States of America,Large
740,2023,Senior-level/ Expert,Full-time,Data Scientist,324000,USD,324000,United States of America,Not at all,United States of America,Medium
1391,2023,Senior-level/ Expert,Full-time,Machine Learning Engineer,324000,USD,324000,United States of America,Not at all,United States of America,Medium
7647,2022,Executive-level / Director,Full-time,Data Engineer,324000,USD,324000,United States of America,Totally Remote,United States of America,Medium
2534,2023,Senior-level/ Expert,Full-time,Machine Learning Engineer,324000,USD,324000,United States of America,Not at all,United States of America,Medium
4045,2023,Senior-level/ Expert,Contract,Finance Data Analyst,300000,EUR,323905,France,Totally Remote,United States of America,Medium
1340,2023,Senior-level/ Expert,Full-time,Machine Learning Engineer,323300,USD,323300,United States of America,Not at all,United States of America,Medium
5382,2023,Senior-level/ Expert,Full-time,Machine Learning Engineer,323300,USD,323300,United States of America,Not at all,United States of America,Medium
2904,2023,Senior-level/ Expert,Full-time,Data Scientist,323300,USD,323300,United States of America,Not at all,United States of America,Medium
2263,2023,Senior-level/ Expert,Full-time,Data Scientist,323300,USD,323300,United States of America,Not at all,United States of America,Medium
2990,2023,Senior-level/ Expert,Full-time,Research Scientist,323300,USD,323300,United States of America,Not at all,United States of America,Medium
1531,2023,Senior-level/ Expert,Full-time,Machine Learning Engineer,323300,USD,323300,United States of America,Not at all,United States of America,Medium
1852,2023,Senior-level/ Expert,Full-time,Data Scientist,323300,USD,323300,United States of America,Not at all,United States of America,Medium
2311,2023,Senior-level/ Expert,Full-time,Machine Learning Engineer,323300,USD,323300,United States of America,Not at all,United States of America,Medium
2712,2023,Senior-level/ Expert,Full-time,Data Scientist,323300,USD,323300,United States of America,Not at all,United States of America,Medium
4413,2023,Senior-level/ Expert,Full-time,Machine Learning Engineer,318300,USD,318300,United States of America,Totally Remote,United States of America,Medium
5550,2023,Senior-level/ Expert,Full-time,Machine Learning Engineer,318300,USD,318300,United States of America,Totally Remote,United States of America,Medium
4756,2023,Senior-level/ Expert,Full-time,Data Scientist,317070,USD,317070,United States of America,Not at all,United States of America,Medium
3643,2023,Senior-level/ Expert,Full-time,Machine Learning Engineer,317070,USD,317070,United States of America,Not at all,United States of America,Medium
946,2023,Senior-level/ Expert,Full-time,Data Scientist,316000,USD,316000,United States of America,Not at all,United States of America,Medium
2912,2023,Senior-level/ Expert,Full-time,Data Scientist,316000,USD,316000,United States of America,Not at all,United States of America,Medium
91,2023,Senior-level/ Expert,Full-time,Data Scientist,316000,USD,316000,United States of America,Not at all,United States of America,Medium
2926,2023,Senior-level/ Expert,Full-time,ML Engineer,315850,USD,315850,United States of America,Not at all,United States of America,Medium
2660,2023,Senior-level/ Expert,Full-time,ML Engineer,315850,USD,315850,United States of America,Not at all,United States of America,Medium
2053,2023,Senior-level/ Expert,Full-time,Machine Learning Engineer,315300,USD,315300,United States of America,Totally Remote,United States of America,Medium
6657,2022,Senior-level/ Expert,Full-time,Data Engineer,315000,USD,315000,United States of America,Totally Remote,United States of America,Medium
5659,2023,Executive-level / Director,Full-time,Head of Data Science,314100,USD,314100,United States of America,Not at all,United States of America,Medium
3694,2023,Senior-level/ Expert,Full-time,Machine Learning Engineer,311000,USD,311000,United States of America,Not at all,United States of America,Medium
2871,2023,Senior-level/ Expert,Full-time,Data Scientist,310270,USD,310270,United States of America,Not at all,United States of America,Medium
3103,2023,Senior-level/ Expert,Full-time,Data Scientist,310270,USD,310270,United States of America,Not at all,United States of America,Medium
3126,2023,Senior-level/ Expert,Full-time,Data Scientist,310270,USD,310270,United States of America,Not at all,United States of America,Medium
1896,2023,Senior-level/ Expert,Full-time,Data Scientist,310270,USD,310270,United States of America,Not at all,United States of America,Medium
2109,2023,Senior-level/ Expert,Full-time,Data Scientist,310270,USD,310270,United States of America,Not at all,United States of America,Medium
465,2023,Senior-level/ Expert,Full-time,Data Engineer,310000,USD,310000,United States of America,Not at all,United States of America,Medium
5127,2023,Executive-level / Director,Full-time,Data Engineer,310000,USD,310000,United States of America,Totally Remote,United States of America,Medium
5982,2023,Senior-level/ Expert,Full-time,Data Engineer,310000,USD,310000,United States of America,Not at all,United States of America,Medium
5273,2023,Executive-level / Director,Full-time,Data Engineer,310000,USD,310000,United States of America,Totally Remote,United States of America,Medium
459,2023,Senior-level/ Expert,Full-time,Research Engineer,310000,USD,310000,United States of America,Not at all,United States of America,Medium
5690,2023,Executive-level / Director,Full-time,Data Engineer,310000,USD,310000,United States of America,Totally Remote,United States of America,Medium
6531,2022,Executive-level / Director,Full-time,Data Engineer,310000,USD,310000,United States of America,Totally Remote,United States of America,Medium
6189,2022,Executive-level / Director,Full-time,Data Engineer,310000,USD,310000,United States of America,Totally Remote,United States of America,Medium
5419,2023,Executive-level / Director,Full-time,Data Engineer,310000,USD,310000,United States of America,Totally Remote,United States of America,Medium
3293,2023,Senior-level/ Expert,Full-time,Applied Scientist,309400,USD,309400,United States of America,Not at all,United States of America,Large
4431,2023,Senior-level/ Expert,Full-time,Applied Scientist,309400,USD,309400,United States of America,Not at all,United States of America,Large
3137,2023,Senior-level/ Expert,Full-time,Applied Scientist,309400,USD,309400,United States of America,Not at all,United States of America,Large
3437,2023,Senior-level/ Expert,Full-time,Applied Scientist,309400,USD,309400,United States of America,Not at all,United States of America,Large
4337,2023,Senior-level/ Expert,Full-time,Applied Scientist,309400,USD,309400,United States of America,Not at all,United States of America,Large
1216,2023,Senior-level/ Expert,Full-time,Applied Scientist,309400,USD,309400,United States of America,Not at all,United States of America,Large
2958,2023,Senior-level/ Expert,Full-time,Applied Scientist,309400,USD,309400,United States of America,Not at all,United States of America,Large
1029,2023,Senior-level/ Expert,Full-time,Machine Learning Engineer,309000,USD,309000,United States of America,Not at all,United States of America,Medium
2303,2023,Senior-level/ Expert,Full-time,Machine Learning Engineer,309000,USD,309000,United States of America,Not at all,United States of America,Medium
1395,2023,Senior-level/ Expert,Full-time,Machine Learning Engineer,309000,USD,309000,United States of America,Not at all,United States of America,Medium
1092,2023,Senior-level/ Expert,Full-time,Machine Learning Engineer,309000,USD,309000,United States of America,Not at all,United States of America,Medium
452,2023,Senior-level/ Expert,Full-time,Research Engineer,308000,USD,308000,United States of America,Not at all,United States of America,Medium
424,2023,Senior-level/ Expert,Full-time,Data Scientist,308000,USD,308000,United States of America,Not at all,United States of America,Medium
490,2023,Senior-level/ Expert,Full-time,Data Architect,306000,USD,306000,United States of America,Totally Remote,United States of America,Medium
724,2023,Senior-level/ Expert,Full-time,Data Architect,306000,USD,306000,United States of America,Totally Remote,United States of America,Medium
3724,2023,Senior-level/ Expert,Full-time,Data Architect,306000,USD,306000,United States of America,Totally Remote,United States of America,Medium
710,2023,Senior-level/ Expert,Full-time,Research Engineer,306000,USD,306000,United States of America,Not at all,United States of America,Medium
3527,2023,Senior-level/ Expert,Full-time,Data Architect,306000,USD,306000,United States of America,Totally Remote,United States of America,Medium
2421,2023,Senior-level/ Expert,Full-time,ML Engineer,305000,USD,305000,United States of America,Not at all,United States of America,Medium
3557,2023,Senior-level/ Expert,Full-time,Data Engineer,305000,USD,305000,United States of America,Totally Remote,United States of America,Medium
1478,2023,Senior-level/ Expert,Full-time,Data Engineer,304200,USD,304200,United States of America,Not at all,United States of America,Medium
4626,2023,Senior-level/ Expert,Full-time,Machine Learning Engineer,304000,USD,304000,United States of America,Totally Remote,United States of America,Medium
1043,2023,Senior-level/ Expert,Full-time,Research Scientist,303050,USD,303050,United States of America,Not at all,United States of America,Medium
1035,2023,Senior-level/ Expert,Full-time,Research Scientist,303050,USD,303050,United States of America,Not at all,United States of America,Medium
3339,2023,Senior-level/ Expert,Full-time,Machine Learning Software Engineer,302000,USD,302000,United States of America,Not at all,United States of America,Medium
5365,2023,Senior-level/ Expert,Full-time,Data Scientist,300240,USD,300240,United States of America,Not at all,United States of America,Medium
5363,2023,Senior-level/ Expert,Full-time,Data Scientist,300240,USD,300240,United States of America,Not at all,United States of America,Medium
914,2023,Senior-level/ Expert,Full-time,Data Infrastructure Engineer,300105,USD,300105,United States of America,Not at all,United States of America,Medium
1582,2023,Mid-level /Intermediate,Full-time,AI Engineer,300000,USD,300000,Qatar,Totally Remote,Qatar,Medium
444,2023,Senior-level/ Expert,Full-time,ML Engineer,300000,USD,300000,United States of America,Not at all,United States of America,Medium
428,2023,Senior-level/ Expert,Full-time,Data Engineer,300000,USD,300000,United States of America,Not at all,United States of America,Medium
442,2023,Senior-level/ Expert,Full-time,Research Scientist,300000,USD,300000,United States of America,Not at all,United States of America,Medium
5865,2023,Executive-level / Director,Full-time,Data Scientist,300000,USD,300000,United States of America,Not at all,United States of America,Medium
6583,2022,Senior-level/ Expert,Full-time,Research Scientist,300000,USD,300000,United States of America,Totally Remote,United States of America,Medium
5721,2023,Senior-level/ Expert,Full-time,Data Engineer,300000,USD,300000,United States of America,Not at all,United States of America,Medium
5853,2023,Senior-level/ Expert,Full-time,Data Engineer,300000,USD,300000,United States of America,Not at all,United States of America,Medium
295,2023,Senior-level/ Expert,Full-time,Data Scientist,300000,USD,300000,United States of America,Not at all,United States of America,Medium
3183,2020,Executive-level / Director,Full-time,Managing Director Data Science,300000,USD,300000,United States of America,Totally Remote,United States of America,Large
6415,2022,Senior-level/ Expert,Full-time,Data Engineer,300000,USD,300000,United States of America,Not at all,United States of America,Medium
3906,2023,Mid-level /Intermediate,Full-time,ML Engineer,300000,USD,300000,Australia,Not at all,Australia,Medium
7100,2022,Senior-level/ Expert,Full-time,Data Engineer,300000,USD,300000,United States of America,Not at all,United States of America,Medium
289,2023,Mid-level /Intermediate,Full-time,Research Scientist,300000,USD,300000,United States of America,Not at all,United States of America,Medium
1637,2023,Senior-level/ Expert,Full-time,Data Scientist,300000,USD,300000,United States of America,Not at all,United States of America,Medium
2588,2023,Senior-level/ Expert,Full-time,Machine Learning Engineer,300000,USD,300000,United States of America,Not at all,United States of America,Medium
4458,2023,Mid-level /Intermediate,Full-time,Machine Learning Engineer,300000,USD,300000,United States of America,Not at all,United States of America,Medium
1426,2023,Mid-level /Intermediate,Full-time,Machine Learning Engineer,300000,USD,300000,United States of America,Not at all,United States of America,Medium
7389,2022,Senior-level/ Expert,Full-time,Data Science Manager,300000,USD,300000,United States of America,Totally Remote,United States of America,Medium
1934,2023,Senior-level/ Expert,Full-time,Data Engineer,300000,USD,300000,United States of America,Not at all,United States of America,Medium
1606,2023,Senior-level/ Expert,Full-time,Data Scientist,300000,USD,300000,United States of America,Not at all,United States of America,Medium
6918,2022,Senior-level/ Expert,Full-time,Data Engineer,300000,USD,300000,United States of America,Not at all,United States of America,Medium
2986,2023,Mid-level /Intermediate,Full-time,Machine Learning Engineer,300000,USD,300000,United Kingdom (Great Britain),Not at all,United Kingdom (Great Britain),Medium
688,2023,Mid-level /Intermediate,Full-time,Machine Learning Engineer,300000,USD,300000,United States of America,Not at all,United States of America,Medium
6752,2022,Senior-level/ Expert,Full-time,Data Engineer,300000,USD,300000,United States of America,Not at all,United States of America,Medium
8,2023,Senior-level/ Expert,Full-time,Machine Learning Scientist,300000,USD,300000,United States of America,Not at all,United States of America,Medium
3241,2023,Senior-level/ Expert,Full-time,Data Science Manager,299500,USD,299500,United States of America,Not at all,United States of America,Medium
6533,2022,Senior-level/ Expert,Full-time,Data Science Manager,299500,USD,299500,United States of America,Not at all,United States of America,Medium
4153,2023,Senior-level/ Expert,Full-time,Data Science Manager,299500,USD,299500,United States of America,Not at all,United States of America,Medium
5818,2023,Senior-level/ Expert,Full-time,Data Science Manager,299500,USD,299500,United States of America,Not at all,United States of America,Medium
5060,2023,Senior-level/ Expert,Full-time,Data Science Manager,299500,USD,299500,United States of America,Not at all,United States of America,Medium
2497,2023,Executive-level / Director,Full-time,Data Scientist,299500,USD,299500,United States of America,Totally Remote,United States of America,Medium
2966,2023,Senior-level/ Expert,Full-time,Data Science Manager,299500,USD,299500,United States of America,Not at all,United States of America,Medium
4954,2023,Senior-level/ Expert,Full-time,Data Science Manager,299500,USD,299500,United States of America,Not at all,United States of America,Medium
2356,2023,Senior-level/ Expert,Full-time,Data Science Manager,299500,USD,299500,United States of America,Not at all,United States of America,Medium
5397,2023,Senior-level/ Expert,Full-time,Data Science Manager,299500,USD,299500,United States of America,Not at all,United States of America,Medium
7077,2022,Executive-level / Director,Full-time,Data Engineer,297500,USD,297500,United States of America,Totally Remote,United States of America,Medium
5937,2023,Senior-level/ Expert,Full-time,Data Scientist,297300,USD,297300,United States of America,Totally Remote,United States of America,Medium
4983,2023,Senior-level/ Expert,Full-time,Data Scientist,297300,USD,297300,United States of America,Totally Remote,United States of America,Medium
174,2023,Senior-level/ Expert,Full-time,Data Science Manager,297300,USD,297300,United States of America,Totally Remote,United States of America,Medium
5935,2023,Senior-level/ Expert,Full-time,Data Science Manager,297300,USD,297300,United States of America,Totally Remote,United States of America,Medium
651,2023,Senior-level/ Expert,Full-time,Machine Learning Engineer,297300,USD,297300,United States of America,Totally Remote,United States of America,Medium
4750,2023,Senior-level/ Expert,Full-time,Data Scientist,297300,USD,297300,United States of America,Totally Remote,United States of America,Medium
4063,2023,Senior-level/ Expert,Full-time,Machine Learning Engineer,297300,USD,297300,United States of America,Totally Remote,United States of America,Medium
1720,2023,Senior-level/ Expert,Full-time,Data Scientist,297300,USD,297300,United States of America,Totally Remote,United States of America,Medium
226,2023,Senior-level/ Expert,Full-time,Machine Learning Engineer,297300,USD,297300,United States of America,Totally Remote,United States of America,Medium
791,2023,Senior-level/ Expert,Full-time,Data Scientist,297300,USD,297300,United States of America,Totally Remote,United States of America,Medium
2027,2023,Senior-level/ Expert,Full-time,ML Engineer,297300,USD,297300,United States of America,Totally Remote,United States of America,Medium
2510,2023,Senior-level/ Expert,Full-time,Machine Learning Engineer,297000,USD,297000,United States of America,Not at all,United States of America,Medium
3012,2023,Senior-level/ Expert,Full-time,Machine Learning Engineer,296400,USD,296400,United States of America,Not at all,United States of America,Medium
3024,2023,Senior-level/ Expert,Full-time,Machine Learning Engineer,296400,USD,296400,United States of America,Not at all,United States of America,Medium
602,2023,Senior-level/ Expert,Full-time,Data Scientist,296100,USD,296100,United States of America,Not at all,United States of America,Medium
1457,2023,Executive-level / Director,Full-time,Machine Learning Engineer,295500,USD,295500,United States of America,Totally Remote,United States of America,Medium
3150,2023,Senior-level/ Expert,Full-time,Data Scientist,295490,USD,295490,United States of America,Not at all,United States of America,Medium
1501,2023,Senior-level/ Expert,Full-time,Data Scientist,295490,USD,295490,United States of America,Not at all,United States of America,Medium
2911,2023,Senior-level/ Expert,Full-time,Data Scientist,295490,USD,295490,United States of America,Not at all,United States of America,Medium
2873,2023,Senior-level/ Expert,Full-time,Data Scientist,295490,USD,295490,United States of America,Not at all,United States of America,Medium
1520,2023,Senior-level/ Expert,Full-time,Data Scientist,295490,USD,295490,United States of America,Not at all,United States of America,Medium
3130,2023,Senior-level/ Expert,Full-time,Data Scientist,295490,USD,295490,United States of America,Not at all,United States of America,Medium
258,2023,Senior-level/ Expert,Full-time,Data Scientist,295000,USD,295000,United States of America,Not at all,United States of America,Medium
3669,2023,Senior-level/ Expert,Full-time,Data Engineer,293000,USD,293000,United States of America,Not at all,United States of America,Medium
4522,2023,Senior-level/ Expert,Full-time,Research Engineer,293000,USD,293000,United States of America,Not at all,United States of America,Medium
4161,2023,Senior-level/ Expert,Full-time,Machine Learning Scientist,292200,USD,292200,United States of America,Totally Remote,United States of America,Medium
4159,2023,Senior-level/ Expert,Full-time,Machine Learning Scientist,292000,USD,292000,United States of America,Totally Remote,United States of America,Medium
5907,2023,Senior-level/ Expert,Full-time,Data Engineer,291500,USD,291500,United States of America,Not at all,United States of America,Medium
6054,2023,Senior-level/ Expert,Full-time,Data Engineer,291500,USD,291500,United States of America,Not at all,United States of America,Medium
2790,2023,Executive-level / Director,Full-time,Head of Data,290000,USD,290000,United States of America,Totally Remote,United States of America,Large
2364,2023,Senior-level/ Expert,Full-time,ML Engineer,290000,USD,290000,United States of America,Totally Remote,United States of America,Medium
4,2023,Senior-level/ Expert,Full-time,Data Scientist,290000,USD,290000,United States of America,Not at all,United States of America,Medium
5359,2023,Senior-level/ Expert,Full-time,Data Engineer,290000,USD,290000,United States of America,Totally Remote,United States of America,Medium
4215,2023,Senior-level/ Expert,Full-time,Analytics Engineer,289800,USD,289800,United Kingdom (Great Britain),Not at all,United Kingdom (Great Britain),Medium
4385,2023,Senior-level/ Expert,Full-time,Analytics Engineer,289800,USD,289800,United States of America,Not at all,United States of America,Medium
4391,2023,Senior-level/ Expert,Full-time,Analytics Engineer,289800,USD,289800,United States of America,Not at all,United States of America,Medium
3886,2023,Senior-level/ Expert,Full-time,Data Operations Engineer,289120,USD,289120,United States of America,Not at all,United States of America,Medium
5984,2023,Senior-level/ Expert,Full-time,ML Engineer,289076,USD,289076,United States of America,Not at all,United States of America,Medium
4645,2023,Senior-level/ Expert,Full-time,Machine Learning Engineer,289076,USD,289076,United States of America,Not at all,United States of America,Medium
5451,2023,Senior-level/ Expert,Full-time,Machine Learning Engineer,288000,USD,288000,United States of America,Totally Remote,United States of America,Medium
